Stock_Code,Stock_Name,Stock_Code1,Stock_Name1,Start_Date
600000,  ????????,600000,  ????????,  1999-11-10
600004,  ????????,600004,  ????????,  2003-04-28
600006,  ????????,600006,  ????????,  1999-07-27
600007,  ????????,600007,  ????????,  1999-03-12
600008,  ????????,600008,  ????????,  2000-04-27
600009,  ????????,600009,  ????????,  1998-02-18
600010,  ????????,600010,  ????????,  2001-03-09
600011,  ????????,600011,  ????????,  2001-12-06
600012,  ????????,600012,  ????????,  2003-01-07
600015,  ????????,600015,  ????????,  2003-09-12
600016,  ????????,600016,  ????????,  2000-12-19
600017,  ??????,600017,  ??????,  2006-10-17
600018,  ????????,600018,  ????????,  2006-10-26
600019,  ????????,600019,  ????????,  2000-12-12
600020,  ????????,600020,  ????????,  2003-08-08
600021,  ????????,600021,  ????????,  2003-10-29
600022,  ????????,600022,  ????????,  2004-06-29
600023,  ????????,600023,  ????????,  2013-12-19
600025,  ????????,600025,  ????????,  2017-12-15
600026,  ????????,600026,  ????????,  2002-05-23
600027,  ????????,600027,  ????????,  2005-02-03
600028,  ????????,600028,  ????????,  2001-08-08
600029,  ????????,600029,  ????????,  2003-07-25
600030,  ????????,600030,  ????????,  2003-01-06
600031,  ????????,600031,  ????????,  2003-07-03
600032,  ????????,600032,  ????????,  2021-05-25
600033,  ????????,600033,  ????????,  2001-02-09
600035,  ????????,600035,  ????????,  2004-03-10
600036,  ????????,600036,  ????????,  2002-04-09
600037,  ????????,600037,  ????????,  2001-02-08
600038,  ????????,600038,  ????????,  2000-12-18
600039,  ????????,600039,  ????????,  2003-03-25
600048,  ????????,600048,  ????????,  2006-07-31
600050,  ????????,600050,  ????????,  2002-10-09
600051,  ????????,600051,  ????????,  1997-04-10
600052,  ????????,600052,  ????????,  1997-04-18
600053,  ????????,600053,  ????????,  1997-04-18
600054,  ????????,600054,  ????????,  1997-05-06
600055,  ????????,600055,  ????????,  1997-05-19
600056,  ????????,600056,  ????????,  1997-05-15
600057,  ????????,600057,  ????????,  1997-06-04
600058,  ????????,600058,  ????????,  1997-05-28
600059,  ????????,600059,  ????????,  1997-05-16
600060,  ????????,600060,  ????????,  1997-04-22
600061,  ????????,600061,  ????????,  1997-05-19
600062,  ????????,600062,  ????????,  1997-05-22
600063,  ????????,600063,  ????????,  1997-05-28
600064,  ????????,600064,  ????????,  1997-05-06
600066,  ????????,600066,  ????????,  1997-05-08
600067,  ????????,600067,  ????????,  1997-05-08
600070,  ????????,600070,  ????????,  1997-06-04
600071,  ????????,600071,  ????????,  1997-05-28
600072,  ????????,600072,  ????????,  1997-06-03
600073,  ????????,600073,  ????????,  1997-07-04
600075,  ????????,600075,  ????????,  1997-06-17
600076,  ????????,600076,  ????????,  1997-05-26
600077,  ????????,600077,  ????????,  1997-05-20
600078,  *ST????,600078,  *ST????,  1997-06-27
600079,  ????????,600079,  ????????,  1997-06-06
600080,  ????????,600080,  ????????,  1997-06-12
600081,  ????????,600081,  ????????,  1997-07-03
600082,  ????????,600082,  ????????,  1997-06-20
600083,  *ST????,600083,  *ST????,  1997-06-06
600084,  *ST????,600084,  *ST????,  1997-07-11
600085,  ??????,600085,  ??????,  1997-06-25
600088,  ????????,600088,  ????????,  1997-06-16
600089,  ????????,600089,  ????????,  1997-06-18
600090,  *ST????,600090,  *ST????,  1997-06-16
600091,  *ST????,600091,  *ST????,  1997-07-04
600093,  *ST????,600093,  *ST????,  1997-06-26
600094,  ??????,600094,  ??????,  1997-07-03
600095,  ????????,600095,  ????????,  1997-07-08
600096,  ??????,600096,  ??????,  1997-07-09
600097,  ????????,600097,  ????????,  1997-06-19
600098,  ????????,600098,  ????????,  1997-07-18
600099,  ????????,600099,  ????????,  1997-07-04
600100,  ????????,600100,  ????????,  1997-06-27
600101,  ????????,600101,  ????????,  1997-06-27
600103,  ????????,600103,  ????????,  1997-07-03
600104,  ????????,600104,  ????????,  1997-11-25
600105,  ????????,600105,  ????????,  1997-09-29
600106,  ????????,600106,  ????????,  1997-06-18
600107,  ??????,600107,  ??????,  1997-11-06
600108,  ????????,600108,  ????????,  1997-08-18
600109,  ????????,600109,  ????????,  1997-08-07
600110,  ????????,600110,  ????????,  1997-10-07
600111,  ????????,600111,  ????????,  1997-09-24
600112,  *ST????,600112,  *ST????,  1997-11-27
600113,  ????????,600113,  ????????,  1997-10-21
